Order Month:,June - October,,,
Location:,Australia,,,
order_id,customer_id,payment,order_date,delivery_date
1,64,30811,30/08/2021,24/09/2021
3,774,46763,08/10/2021,03/11/2021
6,800,16197,09/09/2021,05/10/2021
10,659,21922,15/10/2021,16/10/2021
11,785,36624,15/06/2021,30/06/2021
12,120,55507,30/06/2021,11/07/2021
13,204,57810,15/10/2021,31/10/2021
15,468,15488,22/09/2021,08/10/2021
16,564,36479,07/07/2021,08/07/2021
19,513,56754,30/08/2021,10/09/2021
24,469,14566,04/09/2021,20/09/2021
25,562,47075,04/07/2021,08/07/2021
28,206,29968,19/08/2021,04/09/2021
30,260,59350,07/07/2021,26/07/2021
32,627,24976,17/06/2021,14/07/2021
33,588,52945,01/07/2021,07/07/2021
35,358,49665,31/08/2021,07/09/2021
36,51,32494,22/08/2021,04/09/2021
37,78,53949,07/07/2021,18/07/2021
42,690,33993,29/07/2021,02/08/2021
43,570,22839,13/07/2021,03/08/2021
44,849,17071,07/09/2021,22/09/2021
,,,,
46,922,25378,22/06/2021,04/07/2021
50,454,50310,16/09/2021,18/09/2021
52,493,32155,06/10/2021,29/10/2021
62,93,37952,30/07/2021,13/08/2021
65,388,22051,26/06/2021,22/07/2021
66,631,42774,14/08/2021,22/08/2021
73,965,16715,24/07/2021,19/08/2021
75,68,16667,24/08/2021,15/09/2021
76,470,22762,18/06/2021,26/06/2021
81,736,30150,13/06/2021,15/06/2021
83,537,39729,25/06/2021,01/07/2021
84,181,43438,26/08/2021,20/09/2021
86,874,27045,05/08/2021,11/08/2021
87,325,32961,20/06/2021,16/07/2021
88,567,10904,19/07/2021,15/08/2021
89,448,29268,22/10/2021,16/11/2021
90,809,11475,13/06/2021,07/07/2021
91,803,16601,02/09/2021,15/09/2021
93,908,52379,22/10/2021,11/11/2021
96,415,12119,20/06/2021,30/06/2021
99,291,26787,13/09/2021,25/09/2021
103,209,49852,16/06/2021,24/06/2021
104,366,11454,05/06/2021,23/06/2021
105,456,46013,25/06/2021,14/07/2021
110,607,15385,02/09/2021,06/09/2021
114,160,49686,08/08/2021,02/09/2021
120,585,53001,09/06/2021,14/06/2021
124,776,43888,06/07/2021,15/07/2021
125,321,29600,22/10/2021,03/11/2021
128,936,17661,13/10/2021,09/11/2021
130,439,12827,20/06/2021,15/07/2021
131,629,52850,20/09/2021,24/09/2021
133,878,43759,07/07/2021,17/07/2021
134,12,39451,19/06/2021,01/07/2021
136,539,35331,06/09/2021,08/09/2021
137,298,58875,18/10/2021,20/10/2021
139,871,11224,15/06/2021,28/06/2021
,,,,
141,528,40203,26/08/2021,13/09/2021
142,237,53165,15/06/2021,12/07/2021
146,912,22750,30/08/2021,26/09/2021
147,818,20690,28/09/2021,16/10/2021
150,462,34428,22/06/2021,27/06/2021
151,357,24626,08/08/2021,01/09/2021
153,727,49677,21/10/2021,17/11/2021
154,674,49994,17/10/2021,07/11/2021
155,834,11166,30/06/2021,18/07/2021
156,727,37878,10/07/2021,29/07/2021
158,828,14010,13/07/2021,04/08/2021
159,208,12449,05/09/2021,13/09/2021
160,725,41442,31/07/2021,06/08/2021
163,84,11473,12/06/2021,17/06/2021
165,389,28345,23/06/2021,20/07/2021
