sales_id,order_id,line_number,product_id,price_per_unit,quantity,total_price
22,5,1,1,96,3,288
1121,231,2,1,96,1,96
1741,353,3,1,96,3,288
3201,644,4,1,96,2,192
4962,992,5,1,96,3,288
2,1,6,2,96,3,288
128,28,7,2,96,2,192
141,30,8,2,96,1,96
651,138,9,2,96,2,192
1534,313,10,2,96,1,96
3425,691,11,2,96,2,192
1486,303,12,3,96,2,192
2773,555,13,3,96,1,96
2833,567,14,3,96,2,192
3306,667,15,3,96,1,96
1324,275,16,4,96,3,288
2008,404,17,4,96,1,96
2827,566,18,4,96,3,288
3390,683,19,4,96,3,288
3464,698,20,4,96,3,288
4720,946,21,4,96,3,288
1788,362,22,5,96,2,192
2787,558,23,5,96,1,96
13,3,24,6,96,2,192
1640,335,25,6,96,1,96
1773,358,26,6,96,2,192
2148,432,27,6,96,1,96
4384,875,28,6,96,1,96
69,16,29,7,96,3,288
99,21,30,7,96,1,96
2484,502,31,7,96,2,192
4079,812,32,7,96,3,288
110,24,33,8,96,1,96
668,142,34,8,96,3,288
784,164,35,8,96,1,96
1607,328,36,8,96,1,96
1767,358,37,8,96,2,192
468,103,38,9,96,2,192
934,192,39,9,96,3,288
1164,240,40,9,96,1,96
2951,588,41,9,96,2,192
3634,728,42,9,96,3,288
3055,614,43,10,96,2,192
557,120,44,11,96,2,192
3995,795,45,11,96,3,288
4092,814,46,11,96,3,288
19,4,47,12,96,2,192
3749,749,48,12,96,3,288
1085,223,49,13,96,1,96
1279,264,50,13,96,2,192
2268,461,51,13,96,1,96
241,52,52,14,96,2,192
2216,447,53,14,96,2,192
1347,279,54,15,96,2,192
1694,346,55,15,96,3,288
1933,388,56,15,96,2,192
2247,456,57,15,96,3,288
2248,456,58,15,96,2,192
2521,508,59,16,96,2,192
3382,681,60,16,96,1,96
71,16,61,17,96,2,192
691,146,62,17,96,3,288
1141,236,63,17,96,2,192
1147,237,64,17,96,2,192
2459,499,65,17,96,2,192
2707,543,66,17,96,1,96
4015,799,67,17,96,1,96
1738,353,68,18,96,2,192
2288,464,69,18,96,3,288
3447,695,70,18,96,1,96
3950,788,71,18,96,3,288
4957,991,72,18,96,1,96
124,28,73,19,96,2,192
394,90,74,19,96,2,192
805,168,75,19,96,1,96
4341,867,76,19,96,1,96
102,22,77,20,96,1,96
190,39,78,20,96,2,192
3726,745,79,20,96,1,96
353,80,80,21,96,2,192
2909,582,81,21,96,2,192
3276,661,82,21,96,1,96
3895,779,83,21,96,2,192
3899,780,84,21,96,1,96
4523,902,85,21,96,1,96
4570,910,86,21,96,2,192
150,32,87,22,96,3,288
3788,755,88,22,96,2,192
4633,928,89,22,96,1,96
4940,988,90,22,96,1,96
928,191,91,23,96,2,192
2848,570,92,23,96,3,288
3359,675,93,23,96,2,192
4193,836,94,23,96,2,192
4583,915,95,23,96,1,96
851,176,96,24,96,3,288
2523,508,97,24,96,1,96
3584,718,98,24,96,2,192
4138,824,99,24,96,3,288
4979,995,100,24,96,3,288
949,194,101,25,96,1,96
1442,294,102,25,96,1,96
3178,641,103,25,96,1,96
4046,805,104,25,96,3,288
445,99,105,26,96,1,96
792,165,106,26,96,1,96
1169,242,107,26,96,3,288
1216,251,108,26,96,3,288
2014,406,109,26,96,1,96
3474,699,110,26,96,1,96
4026,801,111,26,96,3,288
4054,807,112,26,96,2,192
982,201,113,27,96,2,192
2129,427,114,27,96,3,288
4934,987,115,27,96,1,96
73,16,116,28,96,1,96
2995,599,117,28,96,3,288
3057,614,118,28,96,3,288
3831,765,119,28,96,2,192
4255,848,120,28,96,3,288
4364,872,121,28,96,3,288
4507,898,122,28,96,3,288
1021,209,123,29,96,2,192
1831,370,124,30,96,2,192
2589,520,125,30,96,3,288
3073,617,126,30,96,2,192
3468,699,127,30,96,2,192
4494,897,128,30,96,3,288
893,184,129,31,96,2,192
1517,312,130,31,96,2,192
2427,492,131,31,96,3,288
3698,740,132,31,96,2,192
4204,839,133,31,96,3,288
584,124,134,32,96,3,288
3626,725,135,32,96,1,96
4375,874,136,32,96,2,192
595,126,137,33,96,2,192
2068,416,138,33,96,1,96
2211,446,139,33,96,2,192
2682,538,140,33,96,1,96
3399,685,141,33,96,3,288
3657,733,142,33,96,1,96
601,127,143,34,96,1,96
2086,419,144,34,96,2,192
2320,472,145,34,96,3,288
4571,910,146,34,96,2,192
42,9,147,35,104,2,208
82,18,148,35,104,1,104
1249,258,149,35,104,1,104
2262,459,150,35,104,1,104
4289,854,151,35,104,3,312
4838,969,152,35,104,3,312
1240,256,153,36,104,2,208
1849,373,154,36,104,3,312
3380,681,155,36,104,2,208
169,36,156,37,104,2,208
2898,579,157,37,104,1,104
2901,580,158,37,104,2,208
3401,686,159,37,104,2,208
28,6,160,38,104,2,208
2106,423,161,38,104,2,208
3636,728,162,38,104,3,312
3781,754,163,38,104,2,208
4614,924,164,38,104,2,208
481,107,165,39,104,2,208
1513,311,166,39,104,3,312
2204,444,167,39,104,3,312
4161,828,168,39,104,3,312
4697,940,169,39,104,2,208
4805,964,170,39,104,1,104
226,49,171,40,104,3,312
4176,831,172,40,104,2,208
1208,250,173,41,104,3,312
1587,323,174,41,104,2,208
1990,400,175,41,104,2,208
4408,881,176,41,104,1,104
2403,488,177,42,104,1,104
3269,658,178,42,104,1,104
4829,967,179,42,104,1,104
777,163,180,43,104,3,312
1127,232,181,43,104,3,312
2168,437,182,43,104,3,312
3358,675,183,43,104,2,208
3719,744,184,43,104,2,208
2825,566,185,44,104,1,104
3495,704,186,44,104,2,208
1410,289,187,45,104,3,312
1932,388,188,45,104,2,208
2620,525,189,45,104,2,208
4285,853,190,45,104,1,104
4787,960,191,45,104,2,208
2203,443,192,46,104,2,208
2325,472,193,46,104,3,312
3935,786,194,46,104,1,104
3695,739,195,47,104,2,208
3734,746,196,47,104,1,104
760,161,197,48,104,2,208
2745,547,198,48,104,2,208
3314,668,199,48,104,3,312
4776,957,200,48,104,1,104
187,39,201,49,104,1,104
1447,296,202,49,104,2,208
1894,380,203,49,104,2,208
2532,510,204,49,104,1,104
4096,814,205,49,104,2,208
4554,908,206,49,104,1,104
397,90,207,50,104,3,312
869,180,208,50,104,3,312
649,138,209,51,104,2,208
1117,230,210,51,104,1,104
1204,249,211,51,104,3,312
1364,281,212,51,104,3,312
4000,797,213,51,104,1,104
1365,282,214,52,104,2,208
4188,835,215,52,104,2,208
4195,837,216,52,104,3,312
4316,860,217,52,104,3,312
4403,880,218,52,104,1,104
4584,915,219,53,104,1,104
4988,996,220,53,104,2,208
12,3,221,54,104,1,104
3429,692,222,54,104,1,104
355,81,223,55,104,3,312
902,185,224,55,104,3,312
1042,213,225,55,104,1,104
3258,656,226,55,104,3,312
243,53,227,56,104,1,104
3365,677,228,56,104,1,104
3456,697,229,56,104,2,208
4160,828,230,56,104,2,208
1090,224,231,57,104,2,208
